Date,Open,High,Low,Close,Volume,ma_diff,GCDC_times,BBANDS_upperband,BBANDS_middleband,BBANDS_lowerband,MA_SHORT,MA_LONG,MIDPOINT,MACD_macd,MACD_macdsignal,MACD_macdhist,RSI,OBV,ATR,STDDEV,_CLOSE_PCT_CHANGE,STOCH_slowk,STOCH_slowd,STOCHRSI_fastk,STOCHRSI_fastd,BUYSELL,SimulateAsset,Profit,Coin,JPY,Songiri,GachihoAsset,GachihoProfit
2021-07-10 09:00:00+09:00,746.584,761.707,745.181,746.61,38967.8514,,1,,,,,,,,,,,38967.8514,,,-0.030691158,,,,,-1,174661,0,99,100400,FALSE,174661,0
2021-07-10 10:00:00+09:00,747.103,747.103,732.584,733.7,41147.0785,,1,,,,,,,,,,,-2179.2271,,,-0.001094286,,,,,0,173376.9166,-1284.083404,99,100400,FALSE,173370,-1291
2021-07-10 11:00:00+09:00,733.7,733.7,724,724.906,45513.0206,,1,,,,,,,,,,,-47692.2477,,,0.011686785,,,,,1,172502.228,-2158.771975,100,100000,FALSE,172490.6,-2170.4
2021-07-10 12:00:00+09:00,725.397,730.872,721.931,727.023,22985.7623,,1,,,,,,,,,,,-24706.4854,,,0.004078082,,,,,0,172713.962,-1947.038016,100,100000,FALSE,172702.3,-1958.7
2021-07-10 13:00:00+09:00,727,734.914,720.262,720.262,25479.4213,,1,21.19817515,2.9122,-15.37377515,2.9122,,,,,,,-50185.9067,,9.142987573,0.000485698,,,,,0,172037.7535,-2623.246468,100,100000,FALSE,172026.2,-2634.8
2021-07-10 14:00:00+09:00,720.343,728,717,724.378,17370.5467,,1,12.36626484,3.5538,-5.258664845,3.5538,,,,,,,-32815.36,,4.406232422,-0.009105068,,,,,0,172449.4196,-2211.580444,100,100000,FALSE,172437.8,-2223.2
2021-07-10 15:00:00+09:00,724.1,734.94,722.996,732.898,13038.2675,,1,5.187335812,-3.0746,-11.33653581,-3.0746,,,,,,,-19777.0925,,4.130967906,-0.013931392,,,,,-1,173301.5562,-1359.443777,99,100400,FALSE,173289.8,-1371.2
2021-07-10 16:00:00+09:00,732.006,735.224,724.973,733.478,34816.0365,,1,7.596116774,-2.4907,-12.57751677,-2.4907,,,,,,,15038.944,,5.043408387,-0.010244615,,,,,-1,173359.249,-1301.751025,98,100800,FALSE,173347.8,-1313.2
2021-07-10 17:00:00+09:00,733.733,736.339,729.037,730,25965.9218,,1,5.744098858,-4.4848,-14.71369886,-4.4848,,,,,,,-10926.9778,,5.114449429,-0.018535959,82.08617269,62.54792714,,,-1,173015.1881,-1645.81188,98,101200,FALSE,173000,-1661
2021-07-10 18:00:00+09:00,729.822,730,719.66,720.612,13802.6174,,1,13.45627644,3.4432,-6.569876442,3.4432,,,,,,,-24729.5952,,5.006538221,0.00241156,58.77272935,69.56919254,,,0,172091.6251,-2569.374875,98,101200,FALSE,172061.2,-2599.8
2021-07-10 19:00:00+09:00,720.088,727.951,716.001,717.842,25665.8031,,1,17.9644554,4.99,-7.984455395,4.99,,,,,,,-50395.3983,,6.487227698,0.015671815,31.65032717,57.5030764,,,1,171819.1209,-2841.879082,98,100800,FALSE,171784.2,-2876.8
2021-07-10 20:00:00+09:00,717.5,729.7,715.895,722.828,14143.4873,,1,13.88732766,2.1545,-9.578327656,2.1545,,,,,,,-36251.911,,5.866413828,0.012418075,20.54715179,36.99006943,,,1,172312.4068,-2348.593182,99,100400,FALSE,172282.8,-2378.2
2021-07-10 21:00:00+09:00,722.673,727,719.22,726.04,18627.323,,1,8.816095112,0.3544,-8.107295112,0.3544,,,,,,,-17624.588,,4.230847556,-0.015119696,30.86251083,27.68666326,,,-1,172631.9609,-2029.039082,98,100800,FALSE,172604,-2057
2021-07-10 22:00:00+09:00,725.2,726.425,715.384,716.715,14574.5134,,1,6.658190857,-0.0971,-6.852390857,-0.0971,,10.758,,,,,-32199.1014,,3.377645428,0.007879215,30.88065677,27.43010646,,,0,171709.3767,-2951.623287,98,100800,FALSE,171671.5,-2989.5
2021-07-10 23:00:00+09:00,716.715,722.999,716,722.354,27392.5396,,1,8.514248428,1.6563,-5.201648428,1.6563,,5.708,,,,35.31648022,-4806.5618,10.73028571,3.428974214,-0.001330757,35.80553469,32.5162341,,,0,172267.2804,-2393.719552,98,100800,FALSE,172235.4,-2425.6
2021-07-11 00:00:00+09:00,722,729.7,720,729.271,23552.1482,,1,6.960117823,-1.4084,-9.776917823,-1.4084,,0.2465,,,,40.66749474,18745.5864,10.65669388,4.184258912,-0.003763057,51.5988652,39.42835222,,,0,172951.6252,-1709.374786,98,100800,FALSE,172927.1,-1733.9
2021-07-11 01:00:00+09:00,728.796,738.882,727.841,731.917,22213.3228,,1,2.574005252,-8.1021,-18.77820525,-8.1021,,-8.265,,,,42.62290457,40958.9092,10.68414431,5.338052626,-0.007384193,72.0164388,53.14027956,,,0,173213.4116,-1447.588426,98,100800,FALSE,173191.7,-1469.3
2021-07-11 02:00:00+09:00,731.16,731.44,711,715.226,51474.1097,,1,15.11730358,1.8766,-11.36410358,1.8766,,3.132,,,,34.82594596,-10515.2005,11.41506258,6.620351791,0.021660299,60.83975478,61.48501959,,,1,171562.0601,-3098.939949,99,100400,FALSE,171522.6,-3138.4
2021-07-11 03:00:00+09:00,715.035,722.611,714.5,722.407,14688.7571,,1,17.42398793,5.6795,-6.064987933,5.6795,,5.7965,,,,39.91822501,4173.5566,11.17905811,5.872243966,0.012568309,42.14253692,58.33291017,,,1,172276.5402,-2384.459836,100,100000,FALSE,172240.7,-2420.3
2021-07-11 04:00:00+09:00,724.977,727.776,720.165,721.394,7004.2225,,1,11.96417931,0.0725,-11.81917931,0.0725,,0.3815,,,,39.44995838,-2830.6659,10.92419681,5.945839655,0.019883727,31.11565407,44.69931525,,,1,172175.1899,-2485.810093,100,99600,FALSE,172139.4,-2521.6
2021-07-11 05:00:00+09:00,720.9,727.998,712.512,726.537,10526.8014,,1,14.34644729,3.2412,-7.864047293,3.2412,,4.097,,,,43.09943297,7696.1355,11.2500399,5.552623647,0.001439009,44.63811778,39.29876959,100,74.87214336,0,172692.5968,-1968.403237,100,99600,FALSE,172653.7,-2007.3
2021-07-11 06:00:00+09:00,728,730,721.954,726.552,24241.8199,,1,4.780684641,-3.5538,-11.88828464,-3.5538,,-2.4055,,,,43.11020282,31937.9554,11.02117991,4.167242321,-0.009172885,56.36291991,44.03889725,100,86.43511166,0,172694.1058,-1966.894176,100,99600,FALSE,172655.2,-2005.8
2021-07-11 07:00:00+09:00,726.963,736.518,726.08,731.061,15007.5565,,1,1.190011422,-5.7088,-12.60761142,-5.7088,,-7.7275,,,,46.39473994,46945.5119,10.9795242,3.449405711,-0.021117632,69.69280391,56.8979472,100,100,-1,173147.7297,-1513.270315,100,100000,FALSE,173106.1,-1554.9
2021-07-11 08:00:00+09:00,732.691,737,730.632,731.602,26256.971,,1,1.020837723,-6.3868,-13.79443772,-6.3868,,-10.2445,,,,46.79167648,73202.4829,10.65012961,3.703818862,-0.021692044,77.10361293,67.71977891,100,100,-1,173201.8605,-1459.139508,99,100400,FALSE,173160.2,-1500.8
2021-07-11 09:00:00+09:00,733.955,737.934,724.739,736.029,26116.8072,,1,6.135184343,-0.9803,-8.095784343,-0.9803,,-5.709,,,,50.05107001,99319.2901,10.83190607,3.557742172,-0.022364736,82.57707451,76.45783045,100,100,-1,173642.3921,-1018.607858,98,100800,FALSE,173602.9,-1058.1
2021-07-11 10:00:00+09:00,736.128,736.128,726.2,727.584,13045.6359,,1,6.104865425,-0.5984,-7.301665425,-0.5984,,-5.5365,,,,44.4564932,86273.6542,10.76734135,3.351632713,-0.016898838,68.56486,76.08184915,19.39657305,73.13219102,-1,172806.618,-1854.381994,98,101200,FALSE,172758.4,-1902.6
2021-07-11 11:00:00+09:00,727.719,728.626,719.948,719.948,33869.4496,,1,15.69350085,4.9578,-5.777900845,4.9578,,1.3405,,,,40.09264592,52404.2046,10.61810268,5.367850423,0.001863323,42.57934329,64.57375927,0,39.79885768,0,172055.106,-2605.894033,98,101200,FALSE,171994.8,-2666.2
2021-07-11 12:00:00+09:00,719.948,723.343,714,715.942,29213.5433,,1,22.30126366,7.5495,-7.202263664,7.5495,,6.956,,,,37.98601808,23190.6613,10.52702392,7.375881832,0.0116172,14.44850651,41.8642366,0,6.465524351,1,171660.8476,-3000.152444,98,100800,FALSE,171594.2,-3066.8
2021-07-11 13:00:00+09:00,716.811,718.999,710.067,716.069,59625.0679,,1,24.01827246,8.5814,-6.85547246,8.5814,,11.0945,,,,38.09706635,82815.7292,10.41309364,7.71843623,0.018202634,9.883999997,22.30394993,0.920412687,0.306804229,1,171673.4175,-2987.582532,99,100400,FALSE,171606.9,-3054.1
2021-07-11 14:00:00+09:00,716.121,721.175,715.166,719.928,12076.7744,,1,10.18013427,1.7237,-6.732734275,1.7237,,7.457,,,,41.5236264,94892.5036,10.09851552,4.228217137,0.011155827,22.49671632,15.60974094,54.67308432,18.53116567,1,172057.5203,-2603.479718,100,100000,FALSE,171992.8,-2668.2
2021-07-11 15:00:00+09:00,720.989,722.539,713.607,715.493,31011.7238,,1,3.441631649,-0.597,-4.635631649,-0.597,,7.5545,,,,38.86126173,63880.7798,10.01519299,2.019315825,0.015303883,29.53755262,20.63942298,24.74111229,26.7782031,1,171613.6216,-3047.378417,100,99600,FALSE,171549.3,-3111.7
2021-07-11 16:00:00+09:00,716.727,724.848,715.727,721.292,13550.1723,,1,2.230390135,-2.5427,-7.315790135,-2.5427,,5.4735,,,,43.92408538,77430.9521,9.968036343,2.386545068,0.002429987,47.67224194,33.23550363,100,59.8047322,0,172197.2849,-2463.715136,100,99600,FALSE,172129.2,-2531.8
2021-07-11 17:00:00+09:00,720.5,728,718.986,724.357,15265.3797,,1,2.555171156,-4.0652,-10.68557116,-4.0652,,2.268,,,,46.44821877,92696.3318,9.89989089,3.310185578,0.02999767,61.62135762,46.27705073,100,74.9137041,1,172505.7739,-2155.226094,101,99200,FALSE,172435.7,-2225.3
2021-07-11 18:00:00+09:00,725,731.967,723.985,729.345,10208.2723,,1,3.341956459,-5.893,-15.12795646,-5.893,,-2.215,-1.116831691,-1.507363204,0.390531513,50.36395773,102904.6041,9.762898684,4.61747823,0.016121765,80.44884603,63.24748186,100,100,1,173010.5653,-1650.434672,101,98800,FALSE,172934.5,-1726.5
2021-07-11 19:00:00+09:00,730.24,732,724.167,728.05,18391.6791,,1,5.59879702,-4.3761,-14.35099702,-4.3761,,-2.3225,-0.632987431,-1.33248805,0.699500618,49.3549408,84512.925,9.625048778,4.98744851,0.012931338,81.30962964,74.45994443,91.2279962,97.07599873,1,172878.7996,-1782.20041,102,98400,FALSE,172805,-1856
2021-07-11 20:00:00+09:00,727.992,729.749,725,726.613,16990.4773,,1,4.256617691,-1.4431,-7.142817691,-1.4431,,-1.6135,-0.361326117,-1.138255663,0.776929546,48.20094082,67522.4477,9.276759579,2.849858846,0.014713939,77.04649281,79.60165616,66.41211516,85.88003712,1,172731.7959,-1929.204098,102,98000,FALSE,172661.3,-1999.7
2021-07-11 21:00:00+09:00,728.903,729,722.5,723.049,15354.3047,,1,5.160997472,0.5328,-4.095397472,0.5328,,0.011,-0.428676073,-0.996339745,0.567663673,45.36767514,52168.143,9.078419609,2.314098736,0.010891765,58.88024952,72.41212399,0,52.54670379,1,172365.2402,-2295.759776,103,97600,FALSE,172304.9,-2356.1
2021-07-11 22:00:00+09:00,724.286,749.179,721.147,746.758,49931.2781,,1,12.13939331,-4.4,-20.93939331,-4.4,,-4.0375,1.414758305,-0.514120135,1.92887844,61.55648966,102099.4211,10.43224678,8.269696657,-0.011724635,63.15991723,66.36221985,100,55.47070505,-1,174816.8155,155.8155401,102,98000,FALSE,174675.8,14.8
2021-07-11 23:00:00+09:00,746.759,748.502,735.515,741.296,72261.5927,,1,9.52528756,-8.8553,-27.23588756,-8.8553,,-10.883,2.407206797,0.070145251,2.337061546,57.34094809,29837.8284,10.61472915,9.19029378,-0.007880354,64.8207445,62.28697042,73.9601589,57.98671963,0,174254.9555,-406.0444553,102,98000,FALSE,174129.6,-531.4
2021-07-12 00:00:00+09:00,741.296,741.296,735.18,737.588,12159.6656,,1,14.66068352,-3.1772,-21.01508352,-3.1772,,-7.1125,2.861538729,0.628423947,2.233114782,54.60693826,17678.1628,10.29339136,8.918941762,-0.001866305,73.96427892,67.31498022,57.07189433,77.01068441,0,173873.5244,-787.475591,102,98000,FALSE,173758.8,-902.2
2021-07-12 01:00:00+09:00,738.488,740.737,731.184,737.464,20231.7461,,1,16.98288533,1.2705,-14.44188533,1.2705,,-4.835,3.17499493,1.137738144,2.037256786,54.51333207,-2553.5833,10.24050626,7.856192666,0.006275257,62.91262367,67.23254903,56.4936791,62.50857744,0,173860.7689,-800.231109,102,98000,FALSE,173746.4,-914.6
2021-07-12 02:00:00+09:00,735.185,736.442,730,731.011,7096.9668,,1,15.9360113,5.6024,-4.731211303,5.6024,,-2.0955,2.869628763,1.484116267,1.385512495,49.73532919,-9650.5501,10.04218438,5.166805651,0.012147297,50.68255327,62.51981862,0,37.85519114,1,173196.9676,-1464.032382,103,97600,FALSE,173101.1,-1559.9
2021-07-12 03:00:00+09:00,730.11,740.85,729.942,738.104,15593.5834,,1,8.393507895,1.6966,-5.000307895,1.6966,,-4.2705,3.163502806,1.819993575,1.343509231,54.46017868,5943.0333,10.10402836,3.348453948,-0.001863638,45.79104177,53.12873957,62.12314284,39.53894065,0,173930.485,-730.5149772,103,97600,FALSE,173810.4,-850.6
2021-07-12 04:00:00+09:00,738.755,738.755,732.504,735.5,9330.3725,,1,5.535328042,0.3039,-4.927528042,0.3039,,-4.504,3.149968192,2.085988498,1.063979693,52.50875071,-3387.3392,9.828812045,2.615714021,0.003209246,42.70552016,46.3930384,56.93029723,39.68448002,0,173661.1943,-999.8057316,103,97600,FALSE,173550,-1111
2021-07-12 05:00:00+09:00,735.403,740.85,735.403,736.214,26469.2856,,1,2.525956962,-2.4679,-7.461756962,-2.4679,,-4.1015,3.160424341,2.300875667,0.859548674,53.00598144,23081.9464,9.515825471,2.496928481,0.017898139,50.14242919,46.21299704,68.45228724,62.5019091,1,173735.0321,-925.9679441,103,97200,FALSE,173621.4,-1039.6
2021-07-12 06:00:00+09:00,736.702,743,731.341,742.121,36306.6459,,1,6.649375462,-0.5805,-7.810375462,-0.5805,,-2.267,3.603813925,2.561463319,1.042350606,57.01564747,59388.5923,9.668909366,3.614937731,0.017150705,66.57316296,53.14037077,100,75.12752816,1,174349.1095,-311.8904688,104,96800,FALSE,174212.1,-448.9
2021-07-12 07:00:00+09:00,742.474,744.999,739.014,740,27134.8151,,1,1.254188983,-3.6187,-8.491588983,-3.6187,,-7.103,3.74093324,2.797357303,0.943575937,55.19460275,32253.7772,9.405772982,2.436444492,0.018713401,72.52235763,63.07931659,59.59426602,76.01551775,1,174127.4723,-533.5277238,105,96400,FALSE,174000,-661
